ID;FASE;ÁREA;TAREA;DESCRIPCIÓN;ARCHIVOS_O_RECURSOS;DEPENDENCIAS;ESTADO;PRUEBA;CRITERIO_DE_ACEPTACIÓN;EVIDENCIA
LB2-017;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: Exportación;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"src/application/export/; exportadores previos; docs/architecture/ADR-0015-EXPORT.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
LB2-018;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: IA;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"src/infrastructure/ai/AIManager.ts; providers; registry; health; docs/architecture/ADR-0016-AI.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
LB2-019;LB-2 — Arquitectura canónica;Consolidación;Seleccionar implementación canónica: Workflow;"Comparar APIs, cobertura, dependencias, pruebas potenciales y capacidad de integración; registrar la decisión y plan de migración.";"src/application/workflow/; src/application/workflows/; QuestionFlowEngine; docs/architecture/ADR-0017-WORKFLOW.md";LB2-002, LB2-003;PENDIENTE;Matriz comparativa + typecheck;Existe una única implementación canónica declarada y un plan para retirar alternativas.;ADR
LB2-020;LB-2 — Arquitectura canónica;Contratos;Definir DecisionResult común;Crear contrato de salida para decisiones con resultado, confianza, evidencia, fuente, motivación, advertencias y validación humana.;src/domain/decisions/DecisionResult.ts;LB2-006 a LB2-014;PENDIENTE;Tests de tipos;Todos los resolvers pueden devolver el contrato.;Archivo + test
LB2-021;LB-2 — Arquitectura canónica;Contratos;Definir DecisionContext común;Crear entrada normalizada con expediente, fecha de referencia, configuración y conocimiento.;src/domain/decisions/DecisionContext.ts;LB2-015, LB2-020;PENDIENTE;Tests de construcción;Contexto suficiente y sin any estructural.;Archivo + test
LB2-022;LB-2 — Arquitectura canónica;Contratos;Definir Evidence y LegalReference;Unificar la representación de fuentes, artículos, vigencia y fragmentos probatorios.;"src/domain/legal/Evidence.ts; src/domain/legal/LegalReference.ts";LB2-008, LB2-009;PENDIENTE;Tests de serialización;Las decisiones enlazan fuentes trazables.;Archivos
LB2-023;LB-2 — Arquitectura canónica;Migración;Crear carpeta archive controlada;Preparar una ubicación no compilada para alternativas retiradas temporalmente.;"archive/; tsconfig.json";LB2-004 a LB2-019;PENDIENTE;npm run typecheck;archive queda fuera del build.;Estructura
LB2-024;LB-2 — Arquitectura canónica;Migración;Migrar configuración a la implementación canónica;"Actualizar imports, bootstrap y tests; archivar alternativas.";"src/infrastructure/config/; archive/";LB2-004, LB2-023;PENDIENTE;npm run typecheck && npm test;Una sola configuración activa.;Commit
LB2-025;LB-2 — Arquitectura canónica;Migración;Migrar EventBus canónico;Actualizar publishers, handlers y store al contrato seleccionado.;"src/infrastructure/events/; src/domain/events/; archive/";LB2-005, LB2-023;PENDIENTE;Tests publish/subscribe;Un EventBus activo.;Commit
LB2-026;LB-2 — Arquitectura canónica;Migración;Migrar familia canónica de RuleEngine;"Actualizar imports y adaptadores; archivar alternativas solo después de comparar y conservar funcionalidad útil.";Rutas definidas en ADR correspondiente;LB2-006, LB2-020 a LB2-023;PENDIENTE;"npm run typecheck; tests de familia";Una sola familia activa de RuleEngine, compilable y probada.;Commit + test
LB2-027;LB-2 — Arquitectura canónica;Migración;Migrar familia canónica de InferenceEngine;"Actualizar imports y adaptadores; archivar alternativas solo después de comparar y conservar funcionalidad útil.";Rutas definidas en ADR correspondiente;LB2-007, LB2-020 a LB2-023;PENDIENTE;"npm run typecheck; tests de familia";Una sola familia activa de InferenceEngine, compilable y probada.;Commit + test
LB2-028;LB-2 — Arquitectura canónica;Migración;Migrar familia canónica de KnowledgeRepository;"Actualizar imports y adaptadores; archivar alternativas solo después de comparar y conservar funcionalidad útil.";Rutas definidas en ADR correspondiente;LB2-008, LB2-020 a LB2-023;PENDIENTE;"npm run typecheck; tests de familia";Una sola familia activa de KnowledgeRepository, compilable y probada.;Commit + test
LB2-029;LB-2 — Arquitectura canónica;Migración;Migrar familia canónica de LegalReasoner;"Actualizar imports y adaptadores; archivar alternativas solo después de comparar y conservar funcionalidad útil.";Rutas definidas en ADR correspondiente;LB2-009, LB2-020 a LB2-023;PENDIENTE;"npm run typecheck; tests de familia";Una sola familia activa de LegalReasoner, compilable y probada.;Commit + test
LB2-030;LB-2 — Arquitectura canónica;Migración;Migrar familia canónica de DecisionEngine;"Actualizar imports y adaptadores; archivar alternativas solo después de comparar y conservar funcionalidad útil.";Rutas definidas en ADR correspondiente;LB2-010, LB2-020 a LB2-023;PENDIENTE;"npm run typecheck; tests de familia";Una sola familia activa de DecisionEngine, compilable y probada.;Commit + test
LB2-031;LB-2 — Arquitectura canónica;Migración;Migrar familia canónica de CPV;"Actualizar imports y adaptadores; archivar alternativas solo después de comparar y conservar funcionalidad útil.";Rutas definidas en ADR correspondiente;LB2-011, LB2-020 a LB2-023;PENDIENTE;"npm run typecheck; tests de familia";Una sola familia activa de CPV, compilable y probada.;Commit + test
LB2-032;LB-2 — Arquitectura canónica;Migración;Migrar familia canónica de Solvencia;"Actualizar imports y adaptadores; archivar alternativas solo después de comparar y conservar funcionalidad útil.";Rutas definidas en ADR correspondiente;LB2-012, LB2-020 a LB2-023;PENDIENTE;"npm run typecheck; tests de familia";Una sola familia activa de Solvencia, compilable y probada.;Commit + test
LB2-033;LB-2 — Arquitectura canónica;Migración;Migrar familia canónica de Garantías;"Actualizar imports y adaptadores; archivar alternativas solo después de comparar y conservar funcionalidad útil.";Rutas definidas en ADR correspondiente;LB2-013, LB2-020 a LB2-023;PENDIENTE;"npm run typecheck; tests de familia";Una sola familia activa de Garantías, compilable y probada.;Commit + test
LB2-034;LB-2 — Arquitectura canónica;Migración;Migrar familia canónica de Procedimiento;"Actualizar imports y adaptadores; archivar alternativas solo después de comparar y conservar funcionalidad útil.";Rutas definidas en ADR correspondiente;LB2-014, LB2-020 a LB2-023;PENDIENTE;"npm run typecheck; tests de familia";Una sola familia activa de Procedimiento, compilable y probada.;Commit + test
LB2-035;LB-2 — Arquitectura canónica;Migración;Migrar familia canónica de Expediente;"Actualizar imports y adaptadores; archivar alternativas solo después de comparar y conservar funcionalidad útil.";Rutas definidas en ADR correspondiente;LB2-015, LB2-020 a LB2-023;PENDIENTE;"npm run typecheck; tests de familia";Una sola familia activa de Expediente, compilable y probada.;Commit + test
LB2-036;LB-2 — Arquitectura canónica;Migración;Migrar familia canónica de Documentos;"Actualizar imports y adaptadores; archivar alternativas solo después de comparar y conservar funcionalidad útil.";Rutas definidas en ADR correspondiente;LB2-016, LB2-020 a LB2-023;PENDIENTE;"npm run typecheck; tests de familia";Una sola familia activa de Documentos, compilable y probada.;Commit + test
LB2-037;LB-2 — Arquitectura canónica;Migración;Migrar familia canónica de Exportación;"Actualizar imports y adaptadores; archivar alternativas solo después de comparar y conservar funcionalidad útil.";Rutas definidas en ADR correspondiente;LB2-017, LB2-020 a LB2-023;PENDIENTE;"npm run typecheck; tests de familia";Una sola familia activa de Exportación, compilable y probada.;Commit + test
LB2-038;LB-2 — Arquitectura canónica;Migración;Migrar familia canónica de IA;"Actualizar imports y adaptadores; archivar alternativas solo después de comparar y conservar funcionalidad útil.";Rutas definidas en ADR correspondiente;LB2-018, LB2-020 a LB2-023;PENDIENTE;"npm run typecheck; tests de familia";Una sola familia activa de IA, compilable y probada.;Commit + test
LB2-039;LB-2 — Arquitectura canónica;Migración;Migrar familia canónica de Workflow;"Actualizar imports y adaptadores; archivar alternativas solo después de comparar y conservar funcionalidad útil.";Rutas definidas en ADR correspondiente;LB2-019, LB2-020 a LB2-023;PENDIENTE;"npm run typecheck; tests de familia";Una sola familia activa de Workflow, compilable y probada.;Commit + test
LB2-040;LB-2 — Arquitectura canónica;Dependencias;Eliminar ciclos arquitectónicos;Analizar el grafo y romper dependencias Domain→Infrastructure o UI→Domain directas indebidas.;src/;LB2-024 a LB2-039;PENDIENTE;dependency-cruiser o script equivalente;0 ciclos prohibidos.;Informe
LB2-041;LB-2 — Arquitectura canónica;API interna;Crear barrels canónicos;Exponer APIs públicas controladas por módulo sin colisiones de nombres.;src/**/index.ts;LB2-024 a LB2-040;PENDIENTE;npm run typecheck;Sin exportaciones ambiguas.;Commit
LB2-042;LB-2 — Arquitectura canónica;Documentación;Actualizar ARCHITECTURE.md con rutas reales;Incorporar implementaciones canónicas y dependencias permitidas.;docs/architecture/ARCHITECTURE.md;LB2-024 a LB2-041;PENDIENTE;Revisión contra imports;Mapa TO-BE coincide con código.;Documento
LB2-043;LB-2 — Arquitectura canónica;Puerta;Cerrar LB-2;Verificar ausencia de duplicidad funcional activa, build limpio y ADRs completos.;Proyecto completo;LB2-001 a LB2-042;PENDIENTE;npm run typecheck && npm run build && npm test && npm run audit:architecture;Una implementación canónica por responsabilidad y un grafo coherente.;Acta de cierre LB-2
LB3-001;LB-3 — Recorrido vertical mínimo;Caso vertical;Definir el caso de demostración;Elegir un expediente sencillo y controlado para probar el recorrido completo.;tests/fixtures/vertical-case-001.json;LB2-043;PENDIENTE;npm test o comando indicado;Caso documentado y estable.;Test/artefacto
LB3-002;LB-3 — Recorrido vertical mínimo;Expediente;Crear comando CreateExpediente;Implementar caso de uso de creación con ID y datos mínimos.;src/application/expedientes/CreateExpediente.ts;LB3-001;PENDIENTE;npm test o comando indicado;El comando crea un expediente válido.;Test/artefacto
LB3-003;LB-3 — Recorrido vertical mínimo;Persistencia;Guardar expediente;Integrar el repositorio canónico y persistir la entidad.;src/infrastructure/persistence/ExpedienteRepository.ts;LB3-002;PENDIENTE;npm test o comando indicado;El expediente existe tras reinicio del repositorio.;Test/artefacto
LB3-004;LB-3 — Recorrido vertical mínimo;Persistencia;Recuperar expediente;Implementar consulta por ID y manejo de no encontrado.;src/application/expedientes/GetExpediente.ts;LB3-003;PENDIENTE;npm test o comando indicado;La lectura reproduce los datos guardados.;Test/artefacto
LB3-005;LB-3 — Recorrido vertical mínimo;Reglas;Crear regla real de tipo de contrato;Aplicar una regla mínima sobre el objeto del caso.;knowledge/rules/vertical-case.rules.yaml;LB3-001, LB2-026;PENDIENTE;npm test o comando indicado;La regla devuelve resultado y evidencia.;Test/artefacto
LB3-006;LB-3 — Recorrido vertical mínimo;Decisiones;Persistir decisión motivada;Guardar resultado, regla, fuente, confianza y estado de validación.;src/infrastructure/persistence/DecisionRepository.ts;LB3-005, LB2-020;PENDIENTE;npm test o comando indicado;La decisión es recuperable y trazable.;Test/artefacto
LB3-007;LB-3 — Recorrido vertical mínimo;CPV;Preparar catálogo controlado del caso;Incluir candidatos suficientes para el objeto de demostración.;knowledge/cpv/vertical-case-cpv.json;LB3-001, LB2-031;PENDIENTE;npm test o comando indicado;Catálogo validado y versionado.;Test/artefacto
LB3-008;LB-3 — Recorrido vertical mínimo;CPV;Proponer CPV principal y alternativos;Ejecutar matcher/resolver canónico con puntuación y explicación.;src/application/analysis/ProposeCPV.ts;LB3-007;PENDIENTE;npm test o comando indicado;Devuelve principal, alternativas, confianza y evidencia.;Test/artefacto
LB3-009;LB-3 — Recorrido vertical mínimo;Workflow;Definir estados mínimos;CREADO, ANALISIS, PROPUESTA, PENDIENTE_VALIDACION, VALIDADO, GENERADO.;src/application/workflow/VerticalWorkflow.ts;LB2-039;PENDIENTE;npm test o comando indicado;Transiciones válidas y protegidas.;Test/artefacto
LB3-010;LB-3 — Recorrido vertical mínimo;Workflow;Ejecutar transición a análisis;Integrar expediente y decisiones con workflow.;src/application/workflow/AnalyzeExpediente.ts;LB3-004, LB3-005, LB3-008, LB3-009;PENDIENTE;npm test o comando indicado;El expediente alcanza PROPUESTA.;Test/artefacto
LB3-011;LB-3 — Recorrido vertical mínimo;Human in loop;Crear acción ValidateDecision;Permitir validar, modificar o rechazar una decisión.;src/application/decisions/ValidateDecision.ts;LB3-006, LB3-010;PENDIENTE;npm test o comando indicado;La intervención humana queda registrada.;Test/artefacto
LB3-012;LB-3 — Recorrido vertical mínimo;Documentos;Crear modelo intermedio de Memoria;Mapear expediente y decisiones a secciones documentales.;src/application/documents/BuildMemoryModel.ts;LB3-011, LB2-036;PENDIENTE;npm test o comando indicado;Modelo completo y serializable.;Test/artefacto
LB3-013;LB-3 — Recorrido vertical mínimo;Documentos;Validar modelo de Memoria;Comprobar apartados y decisiones justificadas.;src/application/documents/ValidateMemoryModel.ts;LB3-012;PENDIENTE;npm test o comando indicado;0 errores bloqueantes.;Test/artefacto
LB3-014;LB-3 — Recorrido vertical mínimo;Exportación;Exportar JSON real;Generar JSON válido desde el modelo documental.;src/application/export/JsonExporter.ts;LB3-013, LB2-037;PENDIENTE;npm test o comando indicado;JSON parseable y fiel al modelo.;Test/artefacto
LB3-015;LB-3 — Recorrido vertical mínimo;Exportación;Exportar HTML real;Renderizar HTML semántico y legible.;src/application/export/HtmlExporter.ts;LB3-013, LB2-037;PENDIENTE;npm test o comando indicado;HTML válido y visualizable.;Test/artefacto
LB3-016;LB-3 — Recorrido vertical mínimo;Auditoría;Registrar el recorrido completo;Crear eventos de creación, reglas, CPV, validación, generación y exportación.;"src/infrastructure/audit/; logs/audit";LB3-002 a LB3-015;PENDIENTE;npm test o comando indicado;La secuencia se reconstruye íntegramente.;Test/artefacto
LB3-017;LB-3 — Recorrido vertical mínimo;CLI;Crear comando demo:vertical;Ejecutar el recorrido sin interfaz gráfica.;"src/cli/vertical-demo.ts; package.json";LB3-016;PENDIENTE;npm test o comando indicado;npm run demo:vertical termina correctamente.;Test/artefacto
LB3-018;LB-3 — Recorrido vertical mínimo;Tests;Test de persistencia vertical;Probar crear, guardar y recuperar.;tests/integration/vertical-persistence.test.ts;LB3-004;PENDIENTE;npm test o comando indicado;Test verde.;Test/artefacto
LB3-019;LB-3 — Recorrido vertical mínimo;Tests;Test de decisión y CPV;Probar regla, evidencia y propuesta CPV.;tests/integration/vertical-decision-cpv.test.ts;LB3-008;PENDIENTE;npm test o comando indicado;Test verde.;Test/artefacto
LB3-020;LB-3 — Recorrido vertical mínimo;Tests;Test de workflow;Probar transiciones y validación humana.;tests/integration/vertical-workflow.test.ts;LB3-011;PENDIENTE;npm test o comando indicado;Test verde.;Test/artefacto
LB3-021;LB-3 — Recorrido vertical mínimo;Tests;Test documental;Probar modelo y validación de Memoria.;tests/integration/vertical-document.test.ts;LB3-013;PENDIENTE;npm test o comando indicado;Test verde.;Test/artefacto
LB3-022;LB-3 — Recorrido vertical mínimo;Tests;Test de exportación y auditoría;Probar JSON, HTML y traza completa.;tests/integration/vertical-export-audit.test.ts;LB3-016;PENDIENTE;npm test o comando indicado;Test verde.;Test/artefacto
LB3-023;LB-3 — Recorrido vertical mínimo;Documentación;Documentar recorrido vertical;Describir comandos, entrada, decisiones y salidas.;docs/vertical-slice/CASE-001.md;LB3-017 a LB3-022;PENDIENTE;npm test o comando indicado;Otro desarrollador puede reproducirlo.;Test/artefacto
LB3-024;LB-3 — Recorrido vertical mínimo;Puerta;Cerrar LB-3;Ejecutar el caso vertical en instalación limpia y conservar salidas.;tests/fixtures/output/vertical-case-001/;LB3-001 a LB3-023;PENDIENTE;npm ci && npm run demo:vertical && npm test;Recorrido completo reproducible sin edición manual del código.;Acta de cierre LB-3
LB4-001;LB-4 — Motor normativo mínimo viable;Alcance;Aprobar el primer caso de uso normativo;Definir tipo de contrato, rango económico, procedimiento y ámbito Junta de Andalucía.;docs/normative/MVP_SCOPE.md;LB3-024;PENDIENTE;npm run test:normative o revisión indicada;Alcance jurídico inequívoco.;Test/documento
LB4-002;LB-4 — Motor normativo mínimo viable;Fuentes;Inventariar fuentes aplicables;Enumerar LCSP, normas complementarias, instrucciones y modelos oficiales necesarios.;docs/normative/SOURCE_REGISTER.csv;LB4-001;PENDIENTE;npm run test:normative o revisión indicada;Cada fuente tiene URL/origen, fecha, vigencia y ámbito.;Test/documento
LB4-003;LB-4 — Motor normativo mínimo viable;Vigencia;Crear modelo de vigencia normativa;Representar entrada en vigor, derogación y fecha de consulta.;src/domain/legal/Validity.ts;LB4-002;PENDIENTE;npm run test:normative o revisión indicada;Puede decidir si una referencia está vigente en una fecha.;Test/documento
LB4-004;LB-4 — Motor normativo mínimo viable;Esquema;Definir esquema de regla jurídica;ID, condición, resultado, fundamento, fuente, prioridad, excepciones y versión.;knowledge/schema/legal-rule.schema.json;LB4-002;PENDIENTE;npm run test:normative o revisión indicada;Schema valida ejemplos positivos y rechaza negativos.;Test/documento
LB4-005;LB-4 — Motor normativo mínimo viable;Esquema;Definir esquema de fuente jurídica;Norma, artículo, apartado, fragmento, vigencia, jurisdicción y procedencia.;knowledge/schema/legal-source.schema.json;LB4-002, LB4-003;PENDIENTE;npm run test:normative o revisión indicada;Fuentes validables.;Test/documento
LB4-006;LB-4 — Motor normativo mínimo viable;Conocimiento;Normalizar artículos LCSP del caso;Estructurar todos los artículos necesarios para el MVP.;knowledge/lcsp/articles/;LB4-001, LB4-005;PENDIENTE;npm run test:normative o revisión indicada;Cobertura del 100 % del caso aprobado.;Test/documento
LB4-007;LB-4 — Motor normativo mínimo viable;Conocimiento;Normalizar normativa complementaria;Estructurar normas y referencias adicionales del caso.;knowledge/regulations/;LB4-002, LB4-005;PENDIENTE;npm run test:normative o revisión indicada;Fuentes completas para el MVP.;Test/documento
LB4-008;LB-4 — Motor normativo mínimo viable;CPV;Definir fuente controlada CPV;Seleccionar catálogo completo o mecanismo oficial y condiciones de actualización.;docs/normative/CPV_SOURCE.md;LB4-001;PENDIENTE;npm run test:normative o revisión indicada;Origen y licencia documentados.;Test/documento
LB4-009;LB-4 — Motor normativo mínimo viable;CPV;Importar y validar catálogo CPV;Cargar códigos, descripciones y jerarquía requeridos.;knowledge/cpv/;LB4-008;PENDIENTE;npm run test:normative o revisión indicada;Catálogo sin duplicados y consultable.;Test/documento
LB4-010;LB-4 — Motor normativo mínimo viable;CPV;Crear normalización lingüística CPV;Sinónimos, lematización y términos administrativos controlados.;knowledge/cpv/synonyms.json;LB4-009;PENDIENTE;npm run test:normative o revisión indicada;Casos de prueba recuperan candidatos esperados.;Test/documento
LB4-011;LB-4 — Motor normativo mínimo viable;Tipo contractual;Implementar reglas de tipo de contrato;Determinar tipo a partir de objeto y prestación principal.;knowledge/rules/contract-type.rules.yaml;LB4-004, LB4-006;PENDIENTE;npm run test:normative o revisión indicada;Casos positivos, negativos y mixtos pasan.;Test/documento
LB4-012;LB-4 — Motor normativo mínimo viable;Lotes;Implementar reglas de lotes;Proponer división/no división y exigir motivación.;knowledge/rules/lots.rules.yaml;LB4-004, LB4-006;PENDIENTE;npm run test:normative o revisión indicada;Resultado motivado y trazable.;Test/documento
LB4-013;LB-4 — Motor normativo mínimo viable;Procedimiento;Implementar reglas de procedimiento;Determinar procedimiento compatible con tipo, valor y circunstancias.;knowledge/rules/procedure.rules.yaml;LB4-004, LB4-006;PENDIENTE;npm run test:normative o revisión indicada;Casos límite de umbral pasan.;Test/documento
LB4-014;LB-4 — Motor normativo mínimo viable;Tramitación;Implementar reglas de tramitación;Ordinaria, urgente o emergencia cuando proceda.;knowledge/rules/processing.rules.yaml;LB4-004, LB4-006;PENDIENTE;npm run test:normative o revisión indicada;Excepciones justificadas.;Test/documento
LB4-015;LB-4 — Motor normativo mínimo viable;Regulación;Implementar regulación armonizada;Resolver sujeción y efectos.;knowledge/rules/harmonized.rules.yaml;LB4-004, LB4-006;PENDIENTE;npm run test:normative o revisión indicada;Casos de umbral pasan.;Test/documento
LB4-016;LB-4 — Motor normativo mínimo viable;Publicidad;Implementar reglas de publicidad;Perfil, plataforma y DOUE conforme al caso.;knowledge/rules/publication.rules.yaml;LB4-013, LB4-015;PENDIENTE;npm run test:normative o revisión indicada;Canales y motivación correctos.;Test/documento
LB4-017;LB-4 — Motor normativo mínimo viable;Plazos;Implementar reglas de plazos;Presentación, adjudicación y formalización.;knowledge/rules/deadlines.rules.yaml;LB4-013 a LB4-016;PENDIENTE;npm run test:normative o revisión indicada;Cálculos reproducibles.;Test/documento
LB4-018;LB-4 — Motor normativo mínimo viable;Solvencia;Implementar exigibilidad de solvencia;Resolver si se exige y qué categorías aplican.;knowledge/rules/solvency.rules.yaml;LB4-004, LB4-006;PENDIENTE;npm run test:normative o revisión indicada;Casos pasan.;Test/documento
LB4-019;LB-4 — Motor normativo mínimo viable;Solvencia;Implementar mínimos de solvencia;Generar umbrales o criterios proporcionados y justificados.;knowledge/rules/solvency-thresholds.rules.yaml;LB4-018;PENDIENTE;npm run test:normative o revisión indicada;No excede proporcionalidad configurada.;Test/documento
LB4-020;LB-4 — Motor normativo mínimo viable;Garantías;Implementar garantías;Provisional, definitiva y complementaria.;knowledge/rules/guarantees.rules.yaml;LB4-004, LB4-006;PENDIENTE;npm run test:normative o revisión indicada;Resultados motivados.;Test/documento
LB4-021;LB-4 — Motor normativo mínimo viable;Criterios;Implementar estructura de criterios;Automáticos y juicio de valor, pesos y vinculación al objeto.;knowledge/rules/award-criteria.rules.yaml;LB4-004, LB4-006;PENDIENTE;npm run test:normative o revisión indicada;Ponderaciones válidas y suma controlada.;Test/documento
LB4-022;LB-4 — Motor normativo mínimo viable;Fórmulas;Implementar validación de fórmulas;Comprobar rango, monotonicidad y ausencia de resultados absurdos.;src/domain/evaluation/FormulaValidator.ts;LB4-021;PENDIENTE;npm run test:normative o revisión indicada;Batería matemática verde.;Test/documento
LB4-023;LB-4 — Motor normativo mínimo viable;Cláusulas;Implementar cláusulas sociales;Seleccionar y motivar las aplicables al caso.;knowledge/rules/social-clauses.rules.yaml;LB4-004, LB4-006;PENDIENTE;npm run test:normative o revisión indicada;Cláusulas vinculadas y trazables.;Test/documento
LB4-024;LB-4 — Motor normativo mínimo viable;Cláusulas;Implementar cláusulas ambientales;Seleccionar y motivar las aplicables al caso.;knowledge/rules/environmental-clauses.rules.yaml;LB4-004, LB4-006;PENDIENTE;npm run test:normative o revisión indicada;Cláusulas vinculadas y trazables.;Test/documento
LB4-025;LB-4 — Motor normativo mínimo viable;Ejecución;Implementar condiciones especiales y penalidades;Resolver condiciones de ejecución, seguimiento y penalidades.;knowledge/rules/execution.rules.yaml;LB4-004, LB4-006;PENDIENTE;npm run test:normative o revisión indicada;Salida coherente con el caso.;Test/documento
LB4-026;LB-4 — Motor normativo mínimo viable;Explicación;Crear ExplanationBuilder jurídico;Componer decisión, porqué, regla, fuente, evidencia, alternativas y riesgo.;src/domain/legal/ExplanationBuilder.ts;LB4-011 a LB4-025;PENDIENTE;npm run test:normative o revisión indicada;Todas las decisiones del MVP son explicables.;Test/documento
LB4-027;LB-4 — Motor normativo mínimo viable;Conflictos;Crear resolución de reglas en conflicto;Prioridad, especificidad, vigencia y registro del conflicto.;src/domain/rules/ConflictResolver.ts;LB4-004, LB4-026;PENDIENTE;npm run test:normative o revisión indicada;Conflictos de fixture resueltos de forma determinista.;Test/documento
LB4-028;LB-4 — Motor normativo mínimo viable;Validación;Crear validador de decisión normativa;Rechazar decisiones sin fuente, vigencia o motivación.;src/domain/legal/LegalDecisionValidator.ts;LB4-026, LB4-027;PENDIENTE;npm run test:normative o revisión indicada;No se emiten decisiones incompletas.;Test/documento
LB4-029;LB-4 — Motor normativo mínimo viable;Casos;Crear fixtures positivos;Casos donde cada regla debe activar.;tests/normative/fixtures/positive/;LB4-011 a LB4-025;PENDIENTE;npm run test:normative o revisión indicada;Todos producen el resultado esperado.;Test/documento
LB4-030;LB-4 — Motor normativo mínimo viable;Casos;Crear fixtures negativos;Casos donde las reglas no deben activar.;tests/normative/fixtures/negative/;LB4-011 a LB4-025;PENDIENTE;npm run test:normative o revisión indicada;No hay falsos positivos definidos.;Test/documento
LB4-031;LB-4 — Motor normativo mínimo viable;Casos;Crear fixtures límite;Umbrales, fechas, objetos mixtos y excepciones.;tests/normative/fixtures/boundary/;LB4-011 a LB4-025;PENDIENTE;npm run test:normative o revisión indicada;Todos los límites están cubiertos.;Test/documento
LB4-032;LB-4 — Motor normativo mínimo viable;Tests;Crear suite de regresión normativa;Ejecutar fixtures y comparar decisión, regla y fuente.;tests/normative/;LB4-029 a LB4-031;PENDIENTE;npm run test:normative o revisión indicada;Suite verde y reproducible.;Test/documento
LB4-033;LB-4 — Motor normativo mínimo viable;Revisión;Realizar revisión jurídica del MVP;Contrastar reglas y motivaciones con técnico responsable.;docs/normative/MVP_LEGAL_REVIEW.md;LB4-032;PENDIENTE;npm run test:normative o revisión indicada;Observaciones resueltas o registradas.;Test/documento
LB4-034;LB-4 — Motor normativo mínimo viable;Versionado;Versionar el paquete normativo;Asignar versión, fecha y changelog de reglas.;"knowledge/VERSION.json; knowledge/CHANGELOG.md";LB4-033;PENDIENTE;npm run test:normative o revisión indicada;Paquete normativo identificable.;Test/documento
LB4-035;LB-4 — Motor normativo mínimo viable;Actualización;Definir procedimiento de actualización normativa;Fuentes, revisión, aprobación y regresión obligatoria.;docs/normative/UPDATE_PROCEDURE.md;LB4-034;PENDIENTE;npm run test:normative o revisión indicada;Procedimiento aprobado.;Test/documento
LB4-036;LB-4 — Motor normativo mínimo viable;Puerta;Cerrar LB-4;Ejecutar suite normativa y aprobar formalmente el caso MVP.;"knowledge/; tests/normative/";LB4-001 a LB4-035;PENDIENTE;npm run validate:knowledge && npm run test:normative;Batería jurídica verde y revisión técnica aprobada.;Acta de cierre LB-4
LB5-001;LB-5 — Documentos administrativos reales;Modelo;Definir DocumentModel canónico;Metadatos, secciones, tablas, anexos, referencias y validaciones.;src/domain/documents/DocumentModel.ts;LB2-036, LB4-036;PENDIENTE;npm run test:documents o revisión indicada;Modelo serializable y sin dependencia de formato.;Test/documento
LB5-002;LB-5 — Documentos administrativos reales;Modelo;Definir DocumentContext canónico;Expediente, decisiones validadas, fuentes, usuario y configuración.;src/domain/documents/DocumentContext.ts;LB5-001;PENDIENTE;npm run test:documents o revisión indicada;Contexto suficiente para todos los generadores.;Test/documento
LB5-003;LB-5 — Documentos administrativos reales;Composición;Consolidar DocumentComposer;Componer secciones y anexos sin formato específico.;src/application/documents/DocumentComposer.ts;LB5-001, LB5-002;PENDIENTE;npm run test:documents o revisión indicada;Compone fixture de ejemplo.;Test/documento
LB5-004;LB-5 — Documentos administrativos reales;Composición;Consolidar NumberingEngine;Numerar títulos, cláusulas, apartados y anexos.;src/application/documents/NumberingEngine.ts;LB5-001;PENDIENTE;npm run test:documents o revisión indicada;Numeración estable y probada.;Test/documento
LB5-005;LB-5 — Documentos administrativos reales;Composición;Consolidar TableModel;Representar tablas administrativas y celdas complejas.;src/domain/documents/TableModel.ts;LB5-001;PENDIENTE;npm run test:documents o revisión indicada;Tablas serializables.;Test/documento
LB5-006;LB-5 — Documentos administrativos reales;Plantillas;Inventariar modelos aportados;Clasificar Memoria, PCAP, PPT e informes por tipo y vigencia.;docs/documents/MODEL_REGISTER.csv;LB4-036;PENDIENTE;npm run test:documents o revisión indicada;Cada modelo tiene procedencia y uso.;Test/documento
LB5-007;LB-5 — Documentos administrativos reales;Estilo;Extraer guía corporativa;Tipografía, márgenes, encabezados, pies, numeración, tablas y símbolos.;docs/documents/STYLE_GUIDE.md;LB5-006;PENDIENTE;npm run test:documents o revisión indicada;Guía revisada contra modelos.;Test/documento
LB5-008;LB-5 — Documentos administrativos reales;Plantillas;Crear plantilla canónica de Memoria;Estructura y tokens del caso MVP.;templates/memory/;LB5-002, LB5-006, LB5-007;PENDIENTE;npm run test:documents o revisión indicada;Plantilla valida todos los apartados.;Test/documento
